JobTitle,Company,Location,Summary,Salary
Salesforce Feature Analyst,Intellibee Inc,"Bengaluru, Karnataka",Do you have a minimum of 3 salesforce certifications? Job Title: *Salesforce Feature Analyst. Minimum work experience: 5+ years of work experience in IT.,
Business Analyst,Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",Person will be responsible for documenting client requirements and also creating a business blueprint document which will be shared with client and project…,"₹7,00,000 a year"
Business Analyst,Social Wavelength,"Mumbai, Maharashtra",Person will be responsible for documenting client requirements and also creating a business blueprint document which will be shared with client and project…,
Business Analyst,Barclays,"Pune, Maharashtra",Develop and communicate business case and delivery plans required to gain support and deliver the change. To work within the Customer Management Platform: CRM…,
Business Analyst CRM | 9 to 12 years | Mumbai & Bengaluru,Capgemini,"Mumbai, Maharashtra",Analyze and document business requirements in the form of process use cases and deliver input to technical teams. Experience in retail sector is preferable.,
Analyst-Business Systems,American Express,"Gurgaon, Haryana","Provide Salesforce.com technical and business process expertise. GBS colleagues manage procurement, real estate, sales operations & business enablement, and…",
Business Analyst,Virtusa,"Bengaluru, Karnataka","Role and Responsibilities, 65533 Working ahead of the team for future team work., 65533 Document the discussions and all relevant artifacts in Rally., 65533…",
Salesforce Business Analyst,Twilio,"Bengaluru, Karnataka",This position is a great role for an experienced business analyst who is looking to take full ownership of process improvement programs and shape product…,
Salesforce Business Analyst,Aleron,"Bengaluru, Karnataka","Work with internal stakeholders to gather the business and functional requirements, by scoping, defining, and prioritizing requirements.",
Salesforce Business Analyst - Senior Associate - Bangalore,PwC,"Bengaluru, Karnataka",Develop strategies to solve complex business challenges. Be actively involved in business development activities of the practice. Experience : 6 to 8 Years.,
Salesforce Technical Analyst,Calypso,"Mumbai, Maharashtra","Assist Salesforce systems team with Research, design, and deliver Salesforce solutions for multiple business units collaborating with analysts and business…",
Business Analyst - Salesforce-Service Cloud,Marsh and McLennan,"Mumbai, Maharashtra",Minimum 5-6years of IT business analysis experience with minimum 4+ years in salesforce service cloud. Should have knowledge on salesforce administration…,
Business Intelligence Analyst,Katabat,"Hyderabad, Telangana","Provide insights from the data – the selected candidate is not just creating reports, but making business recommendations based on the data.",
Opening For Salesforce Business Analyst- PUNE,Peoplefy Infosolutions Private Limited,"Pune, Maharashtra","Extensive experience analyzing, designing, configuring and supporting Salesforce implementations (or other CRM systems).",
Sales and Marketing Data Analyst,McGraw Hill,Remote,Strong experience working in a data/business/operational analyst position where data-driven working is critical. Sales and Marketing Data Analyst.,
"Business Analyst - Marketing Operations (EMEA Shift, Tableau, Reporting, Business Analytics)",Zscaler,"Chandigarh, Chandigarh",Prepare reports and Dashboard as per business requirements and maintain them in SFDC. This position will solve complex business problems using data for driving…,
Salesforce - Business Analyst,V2Solutions,"Navi Mumbai, Maharashtra",Collaborate with developers to test and verify that solutions will meet the business requirements. Experience using Salesforce or similar CRM Products to…,
Business Analyst,Pragmasys Consulting,"Mumbai, Maharashtra","Ability to understand the business process and flows. Very good understanding of out of box capabilities of Salesforce ( Sales Cloud, Service Cloud, Marketing…",
Salesforce Marketing Cloud - Business Analyst,Tekeinstein Software Solution,"Chennai, Tamil Nadu","Excellent Opportunity to work with Us. Internal and External customer communication used to gather, guide, and document project and program requirements and…",₹88 - ₹333 an hour
Business Analyst,Tally Solutions,India,"The single point of contact to business for gathering requirements, supporting user acceptance testing and providing training on the new system/system…",
"Business Support Analyst, SalesForce Administration",Zscaler,"Chandigarh, Chandigarh",Work with diverse teams and act as an interface between the business teams and developers. Responsible for managing and updating finance-related data in SFDC…,
Senior Analyst - Salesforce COE,Barclays,"Delhi, Delhi",Job Title : Senior Analyst- Salesforce COE. Responsible for providing end-to-end support administration of Barclays Salesforce CRM being used across UK and…,
Business Analyst – Salesforce,Genpact,"Bengaluru, Karnataka","With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it.",
Business Analyst,Infoblox,"Thiruvananthapuram, Kerala",Demonstrate mastery of analysing complex business problems. Working with the SFDC Administrators and developers to implement new business processes across…,
CSP IDS Business Analyst,Eli Lilly,"Bengaluru, Karnataka",Demonstrated experience in developing business requirements and user stories to implement IT solutions that meet global business needs.,
