JobTitle,Company,Location,Summary,Salary
Customer Success Manager,PathFactory,Remote,You will be a combination of product and use case evangelist and project manager. PathFactory helps B2B marketers understand the role of content in the buyer’s…,
Salesforce Technical Delivery Manager,Barclays,"Pune, Maharashtra",Experience in managing a team of 10-15 salesforce resources across multiple supplier/locations. Collaborate with other delivery managers for seamless delivery…,
Event Manager,Cloud Compliance,"Mumbai, Maharashtra",We are a US startup and a Salesforce AppExchange ISV partner 'Cloud Compliance' is looking for an Event Manager to organize online webinars to support its…,"₹14,711 - ₹30,000 a month"
Program Manager,ACCESS LIFE AASISTANCE FOUNDATION,"Mumbai, Maharashtra","VACANCY = Full time Program Manager at Mumbai. AccessLife www.accesslife.org a childhood cancer support NGO is recruiting a full time Program Manager,…","₹25,000 - ₹25,001 a year"
Customer Success Manager,"Tenable, Inc","Mumbai, Maharashtra",Tenable has an immediate need for a Customer Success Manager who will be responsible for establishing and driving sales activities for our software products…,
Territory Manager,Syngenta,"Indore, Madhya Pradesh",Any other responsibilities as assigned by a senior manager from time to time including Country/Division projects. Team working and People Management Skills.,
Associate Manager-Insights & Intelligence,Accenture,"Mumbai, Maharashtra",Skill required: Augmented Insights - Program and Project Management. Designation: Management Level - Associate Manager. Years of Experience: 10-14 years.,
General Manager,Promotup HR Solutions,"Bengaluru, Karnataka","Salesforce, meeting sales targets in his/her territory, and delivering month-on-month growth. Toppr is looking for a General Manager - Sales.","₹12,00,000 - ₹15,00,000 a year"
Salesforce Administrator,Twilio,"Bengaluru, Karnataka",DRAW THE OWL: Work with program managers and partners to uncover process gaps and develop elegant solutions. Because you belong at Twilio.,
Manager - Projects,Cognizant,"Bengaluru, Karnataka",Participate and provide inputs during Solution development activities Build relationships with line managers or portfolio owners in the customer organization.,
SFE and Commercial Excellence Manager,Abbott Laboratories,"Mumbai, Maharashtra","SFE and Commercial Excellence Manager. Department/Division/ Unit: Abbott Structural Heart. Key Accountabilities, Responsibilities, and Deliverables:",
Technical Manager- Salesforce,Grazitti,"Panchkula, Haryana","Work with other project managers to align resources and build project teams. As a Technical Manager for Salesforce, you will be responsible for proactively…",
Salesforce Platform Manager,Syngenta,"Pune, Maharashtra","Syngenta Group is a $23B, 48,000-person agricultural company operating in more than 100 countries and we are a leading agriculture company helping to improve…",
Manager / Sr. Manager - BD (International Markets for SFMC),Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",Experience on Business Development for International Markets for Salesforce Marketing Cloud (SFMC). Following up on leads for taking brand brief.,
"Manager, Software Engineering Salesforce (Mumbai, IN)","Sparta Systems, Inc.","Mumbai, Maharashtra","If you share a true passion for technology, enjoy working together in developing solutions, sharing ideas and exchanging knowledge, we want to talk to you.",
Customer Success Manager,PathFactory,Remote,You will be a combination of product and use case evangelist and project manager. PathFactory helps B2B marketers understand the role of content in the buyer’s…,
Senior Product Manager - Frontier Scale,Salesforce,"Hyderabad, Telangana",The Salesforce Frontier Scale Team is seeking a product manager to focus on building a customer facing scale management platform. We win or lose as a team.,
SFE and Commercial Excellence Manager,Abbott Laboratories,"Mumbai, Maharashtra","SFE and Commercial Excellence Manager. Department/Division/ Unit: Abbott Structural Heart. Key Accountabilities, Responsibilities, and Deliverables:",
Technical Manager- Salesforce,Grazitti,"Panchkula, Haryana","Work with other project managers to align resources and build project teams. As a Technical Manager for Salesforce, you will be responsible for proactively…",
Salesforce Platform Manager,Syngenta,"Pune, Maharashtra","Syngenta Group is a $23B, 48,000-person agricultural company operating in more than 100 countries and we are a leading agriculture company helping to improve…",
Manager / Sr. Manager - BD (International Markets for SFMC),Mirum Digital Pvt. Ltd.,"Mumbai, Maharashtra",Experience on Business Development for International Markets for Salesforce Marketing Cloud (SFMC). Following up on leads for taking brand brief.,
"Manager, Software Engineering Salesforce (Mumbai, IN)","Sparta Systems, Inc.","Mumbai, Maharashtra","If you share a true passion for technology, enjoy working together in developing solutions, sharing ideas and exchanging knowledge, we want to talk to you.",
Service Delivery Manager - Salesforce,Iron Systems,"Mangalore, Karnataka","IRON Systems is an innovative, customer-focused provider of custom-built computing infrastructure platforms such as network servers, storage, OEM/ODM appliances…",
SENIOR MANAGER /AVP - SALES,Fairdeal Realtors Pvt. Ltd.,"Mumbai, Maharashtra",PRIMARY - Market Development and Penetration: Develop the Market for Fairdeal Product and services in the allocated Market/Territory *.,"₹4,00,000 - ₹7,44,000 a year"
Deputy Manager_Salesforce Developer_Salescloud_Pune,Vodafone,"Pune, Maharashtra","The Senior IT Development Team Leader supervises others� volume and quality of work relating to the technology roadmap and standards, such as developing…",
Salesforce Testing Tester,Accenture,"Pune, Maharashtra","About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive,…",
Salesforce Developer,Infotribo Technologies Pvt Ltd,"Bengaluru, Karnataka","Interact directly with our customers and the Summit Technologies team, including consultants, project managers, business analysts, architects and sales reps to…","₹6,11,095 - ₹11,60,835 a year"
Software Engineer - Performance Foundation,Salesforce,"Bengaluru, Karnataka","You will interact with almost all of our engineering organizations, product managers and customers to succeed in engineering. What you’ll be doing….",
Digital Data & Identity - Business Process Architect,Colgate-Palmolive,"Mumbai, Maharashtra",Relocation Assistance Offered Within Country. Do you want to come to work with a smile and leave with one as well? Document knowledge and share best practices.,
Senior Product Manager - APM,Salesforce,"Hyderabad, Telangana","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.",
Senior Program Manager - India,BMC Software,"Pune, Maharashtra","From core to cloud to edge, BMC delivers the software and services that enable over 10,000 global customers, including 84% of the Forbes Global 100, to thrive…",
Salesforce CRM BA,Michelin,"Pune, Maharashtra",Helping the project manager in mapping technical and functional risks and estimating their importance. Within the DCAD central team (station A) or in the…,
Salesforce Manager/Sales Operations Manager,codemantra,"Chennai, Tamil Nadu","JOB TITLE: Salesforce Manager/Sales Operations Manager. Should provide internal support: create/maintain users, fields, objects, validation rules, workflow…",
Technical Project Manager ( .NET & Salesforce),Webner Solutions Pvt. Ltd.,"Mohali, Punjab","We are looking for a Technical Project Manager who will oversee multiple projects and guide the development teams working on Web apps in PHP, C# .","₹8,00,000 - ₹14,00,000 a year"
Territory Manager,4M global solution pvt ltd ( CARBAZAAR APP),"Mumbai, Maharashtra",We are looking for a Territory Manager to help us increase our sales revenues and maintain customer relationships within an assigned geographical area.,"₹4,00,000 a year"
Manager-Marketing Operations,Accenture,"Mumbai, Maharashtra","Skill required: Campaign Management - Program and Project Management. Years of Experience: 13-18 years. In today's business environment, growth isn't just about…",
Customer Success Manager - India,Checkmarx,"Mumbai, Maharashtra",Our Customer Success Managers (CSM) are critical to our relationships with our customers. They are responsible to ensure that our customers successfully on…,
Salesforce Solution Arch E2E Design,Barclays,"Pune, Maharashtra","Support delivery managers in estimation and planning. Acting as a Salesforce Solution Architect, you are responsible for providing salesforce solutions to…",
Salesforce BO/Hypercare,Apptad Technology Private Limited,"Pune, Maharashtra",Job Title -Salesforce BO/Hypercare. This requirement is for group PSA - Customer first project - Salesforce Project Coordinator. Responsible of Roll-Out Team.,
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle,"Pune, Maharashtra","Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations…",
Senior Analyst-Salesforce Audience 360/Adobe Audience Manager,Merkle Sokrati,"Pune, Maharashtra","Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations…",
Customer Success Manager/Director,Salesforce,"Mumbai, Maharashtra","They act as the coach of the customer relationship leveraging the full power of Salesforce by bringing in technical experts, success managers, executive…",
